fit 116 | relfit 5.8 | nants: 20 | use-phermn #t | drop-amt 5 | decay-amt 11
fit 88 | relfit 4.4 | nants: 20 | use-phermn #f | drop-amt 5 | decay-amt 11
fit 161 | relfit 8.05 | nants: 20 | use-phermn #t | drop-amt 7 | decay-amt 3
fit 79 | relfit 3.95 | nants: 20 | use-phermn #f | drop-amt 7 | decay-amt 3
fit 198 | relfit 9.9 | nants: 20 | use-phermn #t | drop-amt 7 | decay-amt 5
fit 61 | relfit 3.05 | nants: 20 | use-phermn #f | drop-amt 7 | decay-amt 5
fit 162 | relfit 8.1 | nants: 20 | use-phermn #t | drop-amt 7 | decay-amt 7
fit 78 | relfit 3.9 | nants: 20 | use-phermn #f | drop-amt 7 | decay-amt 7
fit 152 | relfit 7.6 | nants: 20 | use-phermn #t | drop-amt 7 | decay-amt 9
fit 91 | relfit 4.55 | nants: 20 | use-phermn #f | drop-amt 7 | decay-amt 9
fit 157 | relfit 7.85 | nants: 20 | use-phermn #t | drop-amt 7 | decay-amt 11
fit 93 | relfit 4.65 | nants: 20 | use-phermn #f | drop-amt 7 | decay-amt 11
fit 172 | relfit 8.6 | nants: 20 | use-phermn #t | drop-amt 9 | decay-amt 3
fit 74 | relfit 3.7 | nants: 20 | use-phermn #f | drop-amt 9 | decay-amt 3
fit 169 | relfit 8.45 | nants: 20 | use-phermn #t | drop-amt 9 | decay-amt 5
fit 80 | relfit 4.0 | nants: 20 | use-phermn #f | drop-amt 9 | decay-amt 5
fit 219 | relfit 10.95 | nants: 20 | use-phermn #t | drop-amt 9 | decay-amt 7
fit 82 | relfit 4.1 | nants: 20 | use-phermn #f | drop-amt 9 | decay-amt 7
fit 132 | relfit 6.6 | nants: 20 | use-phermn #t | drop-amt 9 | decay-amt 9
fit 82 | relfit 4.1 | nants: 20 | use-phermn #f | drop-amt 9 | decay-amt 9
fit 182 | relfit 9.1 | nants: 20 | use-phermn #t | drop-amt 9 | decay-amt 11
fit 81 | relfit 4.05 | nants: 20 | use-phermn #f | drop-amt 9 | decay-amt 11
fit 185 | relfit 9.25 | nants: 20 | use-phermn #t | drop-amt 11 | decay-amt 3
fit 73 | relfit 3.65 | nants: 20 | use-phermn #f | drop-amt 11 | decay-amt 3
fit 113 | relfit 5.65 | nants: 20 | use-phermn #t | drop-amt 11 | decay-amt 5
fit 83 | relfit 4.15 | nants: 20 | use-phermn #f | drop-amt 11 | decay-amt 5
fit 167 | relfit 8.35 | nants: 20 | use-phermn #t | drop-amt 11 | decay-amt 7
fit 89 | relfit 4.45 | nants: 20 | use-phermn #f | drop-amt 11 | decay-amt 7
fit 190 | relfit 9.5 | nants: 20 | use-phermn #t | drop-amt 11 | decay-amt 9
fit 91 | relfit 4.55 | nants: 20 | use-phermn #f | drop-amt 11 | decay-amt 9
fit 158 | relfit 7.9 | nants: 20 | use-phermn #t | drop-amt 11 | decay-amt 11
fit 84 | relfit 4.2 | nants: 20 | use-phermn #f | drop-amt 11 | decay-amt 11
fit 270 | relfit 9.0 | nants: 30 | use-phermn #t | drop-amt 3 | decay-amt 3
fit 98 | relfit 3.2666666666666666 | nants: 30 | use-phermn #f | drop-amt 3 | decay-amt 3
fit 264 | relfit 8.8 | nants: 30 | use-phermn #t | drop-amt 3 | decay-amt 5
fit 104 | relfit 3.466666666666667 | nants: 30 | use-phermn #f | drop-amt 3 | decay-amt 5
fit 202 | relfit 6.733333333333333 | nants: 30 | use-phermn #t | drop-amt 3 | decay-amt 7
fit 98 | relfit 3.2666666666666666 | nants: 30 | use-phermn #f | drop-amt 3 | decay-amt 7
fit 136 | relfit 4.533333333333333 | nants: 30 | use-phermn #t | drop-amt 3 | decay-amt 9
